threshold,precision,recall,f1,day_avg_churned,day_avg_flagged
0.05,0.11,0.99,0.2,65.0,563.0
0.1,0.12,0.97,0.21,65.0,515.0
0.15,0.13,0.95,0.23,65.0,469.0
0.2,0.14,0.94,0.24,65.0,420.0
0.25,0.16,0.92,0.27,65.0,375.0
0.3,0.17,0.89,0.29,65.0,331.0
0.35,0.2,0.86,0.32,65.0,285.0
0.4,0.22,0.83,0.35,65.0,244.0
0.45,0.25,0.79,0.38,65.0,205.0
0.5,0.29,0.76,0.42,65.0,167.0
0.55,0.35,0.72,0.47,65.0,133.0
0.6,0.42,0.67,0.52,65.0,104.0
0.65,0.5,0.63,0.56,65.0,81.0
0.7,0.59,0.57,0.58,65.0,63.0
0.75,0.69,0.53,0.6,65.0,50.0
0.8,0.76,0.47,0.58,65.0,40.0
0.85,0.89,0.34,0.49,65.0,25.0
0.9,0.87,0.03,0.06,65.0,2.0
0.95,0.0,0.0,0.0,65.0,0.0
