feature,coefficient
balance_7d_ago,0.0
balance_30d_ago,-0.21153465261464377
net_amount_result_7d,-0.19487815126062114
net_amount_result_30d,-0.02821075285101284
num_sessions_7d,-0.8933085850414791
num_sessions_30d,-0.3358547037802819
avg_sessions_duration_30d,0.0
avg_bet_amount_30d,0.0
net_game_result_7d,-0.10214843876629195
net_game_result_30d,-0.07202353284430554
failed_withdrawals_30d,-0.02334923200091429
deposit_count_30d,0.012997301782939282
withdrawal_count_30d,0.0
withdrawal_ratio,0.0
country_0,0.0
country_1,0.0
country_2,0.07455931815959362
country_3,0.0
age_bucket_0,0.006529669622781997
age_bucket_1,-0.0500624552513522
age_bucket_2,0.0
age_bucket_3,0.0
